file,sheet,outcome,comment,csv_file_name
Exp16DM01_saisie.xlsx,fichier total,True,success,Exp16DM01_saisie_fichier total.csv
Exp16DM01_saisie.xlsx,moyenne OIV,False,"Missing columns: ['nomphoto', 's', 'sq', 'n', 'fn', 'tn', 'ligne', 'colonne']",
Exp16DM02_rep1_saisie.xlsx,fichier total,True,success,Exp16DM02_rep1_saisie_fichier total.csv
Exp16DM02_rep2_saisie.xlsx,fichier total,True,success,Exp16DM02_rep2_saisie_fichier total.csv
Exp16DM03_rep1_saisie.xlsx,fichier total,True,success,Exp16DM03_rep1_saisie_fichier total.csv
Exp16DM03_rep1_saisie.xlsx,Feuil1,False,Missing columns: ['nomphoto'],
Exp16DM03_rep2_saisie.xlsx,fichier total,True,success,Exp16DM03_rep2_saisie_fichier total.csv
Exp16DM03_rep2_saisie.xlsx,Feuil1,False,Missing columns: ['nomphoto'],
Exp16DM03_rep3_saisie.xlsx,fichier total,True,success,Exp16DM03_rep3_saisie_fichier total.csv
Exp16DM03_rep3_saisie.xlsx,Feuil1,False,Missing columns: ['nomphoto'],
Exp16DM04_rep1_saisie.xlsx,fichier total,True,success,Exp16DM04_rep1_saisie_fichier total.csv
Exp16DM04_rep2_saisie.xlsx,fichier total,True,success,Exp16DM04_rep2_saisie_fichier total.csv
Exp16DM05_rep1_saisie.xlsx,fichier total,True,success,Exp16DM05_rep1_saisie_fichier total.csv
Exp16DM05_rep2_saisie.xlsx,fichier total,True,success,Exp16DM05_rep2_saisie_fichier total.csv
Exp16DM05_rep3_saisie.xlsx,fichier total,True,success,Exp16DM05_rep3_saisie_fichier total.csv
Exp16DM05_rep4_saisie.xlsx,fichier total,True,success,Exp16DM05_rep4_saisie_fichier total.csv
Exp16DM05_rep5_saisie.xlsx,fichier total,True,success,Exp16DM05_rep5_saisie_fichier total.csv
Exp16DM05_rep6_saisie.xlsx,fichier total,True,success,Exp16DM05_rep6_saisie_fichier total.csv
Exp16DM06_saisie.xlsx,fichier total,True,success,Exp16DM06_saisie_fichier total.csv
Exp16DM07_rep1_saisie.xlsx,fichier total,True,success,Exp16DM07_rep1_saisie_fichier total.csv
Exp16DM08_rep1_saisie.xlsx,fichier total,True,success,Exp16DM08_rep1_saisie_fichier total.csv
Exp16DM09_rep1_saisie.xlsx,fichier total,True,success,Exp16DM09_rep1_saisie_fichier total.csv
Exp16DM10_saisie.xlsx,fichier total,True,success,Exp16DM10_saisie_fichier total.csv
Exp16DM11_rep1_saisie.xlsx,fichier total,True,success,Exp16DM11_rep1_saisie_fichier total.csv
Exp16DM11_rep1_saisie.xlsx,Feuil1,False,No header,
Exp16DM11_rep2_saisie.xlsx,fichier total,True,success,Exp16DM11_rep2_saisie_fichier total.csv
Exp16DM11_rep2_saisie.xlsx,Feuil1,False,No header,
Exp16DM12_rep1_saisie.xlsx,fichier total,True,success,Exp16DM12_rep1_saisie_fichier total.csv
Exp16DM12_rep2_saisie.xlsx,fichier total,True,success,Exp16DM12_rep2_saisie_fichier total.csv
Exp17DM01_inoc1_saisie.xlsx,fichier total,True,success,Exp17DM01_inoc1_saisie_fichier total.csv
Exp17DM01_inoc2_saisie.xlsx,fichier total,True,success,Exp17DM01_inoc2_saisie_fichier total.csv
Exp17DM01_inoc3_saisie.xlsx,fichier total,True,success,Exp17DM01_inoc3_saisie_fichier total.csv
Exp17DM02_inoc1_saisie.xlsx,fichier total,True,success,Exp17DM02_inoc1_saisie_fichier total.csv
Exp17DM02_inoc1_saisie.xlsx,Feuil1,False,No header,
Exp17DM02_inoc2_saisie.xlsx,fichier total,True,success,Exp17DM02_inoc2_saisie_fichier total.csv
Exp17DM02_inoc2_saisie.xlsx,Feuil1,False,No header,
Exp17DM02_inoc3_saisie.xlsx,fichier total,True,success,Exp17DM02_inoc3_saisie_fichier total.csv
Exp17DM02_inoc3_saisie.xlsx,Feuil1,False,No header,
Exp17DM03_inoc1_saisie.xlsx,fichier total,True,success,Exp17DM03_inoc1_saisie_fichier total.csv
Exp17DM03_inoc1_saisie.xlsx,Feuil1,False,No header,
Exp17DM03_inoc2_saisie.xlsx,fichier total,True,success,Exp17DM03_inoc2_saisie_fichier total.csv
Exp17DM03_inoc2_saisie.xlsx,Feuil1,False,No header,
Exp17DM04_inoc1_saisie.xlsx,fichier total,True,success,Exp17DM04_inoc1_saisie_fichier total.csv
Exp17DM04_inoc2_saisie.xlsx,fichier total,True,success,Exp17DM04_inoc2_saisie_fichier total.csv
Exp17DM04_inoc3_saisie.xlsx,fichier total,True,success,Exp17DM04_inoc3_saisie_fichier total.csv
Exp17DM04_inoc3_saisie.xlsx,Feuil1,False,No header,
Exp17DM04_inoc4_saisie.xlsx,fichier total,True,success,Exp17DM04_inoc4_saisie_fichier total.csv
Exp17DM07_inoc1_saisie.xlsx,4dpi,True,success,Exp17DM07_inoc1_saisie_4dpi.csv
Exp17DM07_inoc1_saisie.xlsx,5dpi,True,success,Exp17DM07_inoc1_saisie_5dpi.csv
Exp17DM07_inoc1_saisie.xlsx,6dpi,True,success,Exp17DM07_inoc1_saisie_6dpi.csv
Exp17DM07_inoc1_saisie.xlsx,Feuil1,False,No header,
Exp17DM08_saisie.xlsx,fichier total,True,success,Exp17DM08_saisie_fichier total.csv
Exp17DM08_saisie.xlsx,Feuil1,False,No header,
Exp18DM01_inoc1_saisie.xlsx,fichier total,True,success,Exp18DM01_inoc1_saisie_fichier total.csv
Exp18DM01_inoc1_saisie.xlsx,Feuil1,False,No header,
Exp18DM01_inoc2_saisie.xlsx,fichier total,True,success,Exp18DM01_inoc2_saisie_fichier total.csv
Exp18DM01_inoc2_saisie.xlsx,Feuil1,False,No header,
Exp18DM02_inoc1_saisie.xlsx,fichier total,True,success,Exp18DM02_inoc1_saisie_fichier total.csv
Exp18DM02_inoc1_saisie.xlsx,Feuil1,False,No header,
Exp18DM02_inoc2et3_saisie.xlsx,fichier total,True,success,Exp18DM02_inoc2et3_saisie_fichier total.csv
Exp18DM03_saisie.xlsx,fichier total,True,success,Exp18DM03_saisie_fichier total.csv
Exp18DM03_saisie.xlsx,Feuil1,False,No header,
Exp18DM04_inoc1_saisie.xlsx,4dpi,True,success,Exp18DM04_inoc1_saisie_4dpi.csv
Exp18DM04_inoc1_saisie.xlsx,5dpi,True,success,Exp18DM04_inoc1_saisie_5dpi.csv
Exp18DM04_inoc1_saisie.xlsx,6dpi,True,success,Exp18DM04_inoc1_saisie_6dpi.csv
Exp18DM05_saisie.xlsx,Exp18D_saisie_t1,False,"Corrupted dataframe, failed to retrieve photos",
Exp18DM05_saisie.xlsx,Exp18DM05_saisie_t2,False,"Corrupted dataframe, failed to retrieve photos",
Exp18DM05_saisie.xlsx,Exp18DM_saisie_t3,False,"Corrupted dataframe, failed to retrieve photos",
Exp18DM05_saisie.xlsx,Exp18DM05_saisie_t4,True,success,Exp18DM05_saisie_Exp18DM05_saisie_t4.csv
Exp18DM05_saisie.xlsx,Exp18DM05_saisie_t5,True,success,Exp18DM05_saisie_Exp18DM05_saisie_t5.csv
Exp18DM06_saisie.xlsx,fichier total,True,success,Exp18DM06_saisie_fichier total.csv
Exp18DM06_saisie.xlsx,Feuil1,False,No header,
Exp18DM07_saisie.xlsx,Feuil1,True,success,Exp18DM07_saisie_Feuil1.csv
